Name,Description
medialcorner,The medial corner of the right eye.
lateralcorner,The lateral corner of the right eye.
pupilcenter,The center of the right pupil.
pupildia,The diameter of the right pupil.
pupiledge01,An edge point around the right pupil.
pupiledge02,An edge point around the right pupil.
pupiledge03,An edge point around the right pupil.
pupiledge04,An edge point around the right pupil.
pupiledge05,An edge point around the right pupil.
pupiledge06,An edge point around the right pupil.
pupiledge07,An edge point around the right pupil.
pupiledge08,An edge point around the right pupil.
pupiledge09,An edge point around the right pupil.
pupiledge10,An edge point around the right pupil.
pupiledge11,An edge point around the right pupil.
pupiledge12,An edge point around the right pupil.
pupiledge13,An edge point around the right pupil.
pupiledge14,An edge point around the right pupil.
pupiledge15,An edge point around the right pupil.
pupiledge16,An edge point around the right pupil.
pupiledge17,An edge point around the right pupil.
pupiledge18,An edge point around the right pupil.
pupiledge19,An edge point around the right pupil.
pupiledge20,An edge point around the right pupil.
pupiledge21,An edge point around the right pupil.
pupiledge22,An edge point around the right pupil.
pupiledge23,An edge point around the right pupil.
pupiledge24,An edge point around the right pupil.
pupiledge25,An edge point around the right pupil.
pupiledge26,An edge point around the right pupil.
pupiledge27,An edge point around the right pupil.
pupiledge28,An edge point around the right pupil.
pupiledge29,An edge point around the right pupil.
pupiledge30,An edge point around the right pupil.
